sku,component_master_category,component_master_subcategory,component_category,component_color,component_material,component_consumer,component_edition,component_version,component_has_revenue,component_is_smart,component_is_refillable_product
920-00240,floss,strand,strand,white,plastic,,,glide,true,false,false
920-00248,paste,paste,paste,,,,travel,,true,false,true
920-00252,brush,brush,brush,charcoal,plastic,adult,,,true,false,false
920-00263,brush,brush,brush,green,plastic,,gitd,,true,false,false
920-00264,brush,brush,brush,pink,plastic,,gitd,,true,false,false
920-00268,brush,brush,brush,blue,plastic,,gitd,,true,false,false
930-00026,floss,floss_pick,floss_pick,copper,metal,,,,true,false,false
930-00027,floss,floss_pick,floss_pick,silver,metal,,,,true,false,false
930-00028,floss,floss_pick,floss_pick,gold,metal,,,,true,false,false
930-00029,floss,floss_pick,floss_pick,slate,metal,,,,true,false,false
900-00257,floss,strand,strand,copper,metal,,,,true,false,false
900-00401,brush,brush,brush,silver,metal,adult,oscillating,rechargeable,true,false,false
900-00402,brush,brush,brush,blue,metal,adult,oscillating,rechargeable,true,false,false
900-00403,brush,brush,brush,gray,metal,adult,oscillating,rechargeable,true,false,false
900-00404,brush,brush,brush,black,metal,adult,oscillating,rechargeable,true,false,false
900-00407,brush,brush,brush_refill,black,,adult,oscillating,,true,false,true
900-00408,brush,brush,brush_refill,white,,adult,oscillating,,true,false,true
930-00001,brush,brush,brush,copper,metal,adult,,,true,false,false
930-00003,brush,brush,brush,slate,metal,adult,,,true,false,false
930-00004,brush,brush,brush,silver,metal,adult,,,true,false,false
930-00005,brush,brush,brush,blue,plastic,kids,,,true,false,false
930-00007,brush,brush,brush,pink,plastic,kids,,,true,false,false
930-00009,floss,strand,strand,slate,metal,,,glide,true,false,false
930-00042,floss,water_flosser,water_flosser,slate,metal,,,,true,false,false
930-00043,floss,water_flosser,water_flosser,white,plastic,,,,true,false,false
930-00044,brush,brush,brush,silver,metal,adult,,,true,false,false
930-00045,consumables,gum,gum_refill,,,,,nine_pack,true,false,true
930-00046,consumables,mint,mint_refill,,,,,nine_pack,true,false,true
930-00047,brush,brush,brush,black,metal,adult,all black,rechargeable,true,true,false
930-00048,brush,brush,brush,pink,metal,adult,all pink,rechargeable,true,true,false
930-00049,brush,brush,brush,ocean_blue,plastic,adult,,rechargeable,true,true,false
930-00148-D,paste,paste,paste,,,adult,,,true,false,true
930-00149-D,paste,paste,paste,,,kids,,,true,false,true
930-00052,brush,brush,brush,white_black,metal,adult,oscillating,rechargeable,true,false,false
900-00420,brush,brush,brush,dusk,metal,adult,,,true,false,false
900-00421,brush,brush,brush,twilight,metal,adult,,,true,false,false
900-00351,brush,brush,brush,sage,plastic,adult,,,true,false,false
900-00451,brush,brush,brush,wonder,plastic,kids,,,true,false,false
900-00452,brush,brush,brush,spark,plastic,kids,,,true,false,false
900-00453,brush,brush,brush,dream,plastic,kids,,,true,false,false
900-00454,brush,brush,brush,thrive,plastic,kids,,,true,false,false
